               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10751,            0.016909,             0.05091,            0.070734,            0.056351,             0.03419,            0.010972,            0.092925,           0.0085068,            0.047358,            0.070545,           0.0032727,           0.0032727
                   1,            0.081033,            0.021468,            0.045395,              0.1076,             0.11905,             0.08507,            0.031832,            0.080017,           0.0084715,            0.042805,            0.040109,           0.0061701,           0.0061701
                   2,            0.068414,            0.018948,            0.042534,             0.12346,             0.32683,              0.1275,            0.040973,            0.073762,             0.00794,            0.042054,           0.0092335,           0.0086274,           0.0086274
                   3,            0.061249,            0.017799,            0.040722,             0.25128,             0.32637,             0.21191,             0.10264,             0.06156,           0.0074891,            0.037596,             0.00802,             0.00802,             0.00802
                   4,            0.058129,            0.017695,            0.038285,             0.35864,             0.42365,             0.31931,               0.162,            0.055896,           0.0071451,            0.035723,             0.00802,             0.00802,             0.00802
                   5,            0.055878,            0.016588,            0.034202,              0.3264,             0.48441,             0.35907,             0.19195,             0.05311,           0.0068666,              0.0328,             0.00736,             0.00736,             0.00736
                   6,            0.050899,            0.015718,            0.031981,             0.35642,                0.49,             0.41578,             0.24314,             0.04986,           0.0066923,            0.031324,              0.0067,              0.0067,              0.0067
                   7,            0.050364,            0.015664,            0.030692,             0.39763,             0.48797,             0.45332,             0.28258,            0.047013,           0.0067442,            0.028635,             0.00604,             0.00604,             0.00604
                   8,            0.047994,             0.01567,            0.028336,             0.40224,             0.46379,              0.4329,             0.27857,            0.049641,           0.0068031,            0.030226,             0.00538,             0.00538,             0.00538
                   9,            0.046302,             0.01543,            0.026982,             0.52333,             0.49276,             0.48519,             0.29152,            0.047477,           0.0065367,            0.026364,             0.00472,             0.00472,             0.00472
                  10,            0.044822,            0.015619,            0.024846,             0.53638,             0.46249,             0.49538,             0.30057,             0.04624,           0.0064856,            0.025354,             0.00406,             0.00406,             0.00406
                  11,            0.043628,            0.015251,            0.023994,             0.60964,             0.45633,             0.48739,             0.30709,             0.04472,           0.0067734,             0.02667,              0.0034,              0.0034,              0.0034
                  12,             0.04219,            0.014878,            0.023396,             0.52288,             0.52166,             0.53113,             0.34438,            0.044312,           0.0064375,            0.024092,             0.00274,             0.00274,             0.00274
                  13,            0.041299,            0.014912,            0.022835,             0.56676,              0.4995,             0.52244,             0.34987,            0.043486,            0.006363,            0.024375,             0.00208,             0.00208,             0.00208
                  14,            0.039785,            0.015067,            0.022522,             0.49243,             0.56057,             0.54189,               0.361,            0.042324,           0.0064127,            0.023483,             0.00142,             0.00142,             0.00142
